Source	ISIN	ISIN Name	Type	Qty	MktPrice	Total	Statement Date
NSDL	INE066A01021	EICHER MOTORS LIMITED EQ NEW FV RE. 1/-	S	45	8059	362655	29-Aug-26
NSDL	IN0020200161	GOVERNMENT OF INDIA SGB 11AG28 S V 2.50 FV RS 5334	ETF	20	15584.2	311684	29-Aug-26
NSDL	INE040A01034	HDFC BANK LIMITED EQ NEW FV RE. 1/-	S	54	720.3	38896.2	29-Aug-26
NSDL	INE030A01027	HINDUSTAN UNILEVER LIMITED EQ F.V. RS 1	S	14	2010.4	28145.6	29-Aug-26
NSDL	INF109KC1NT3	ICICI PRUDENTIAL MUTUAL FUND MUTUAL FUND GOLD EXCHANGE TRADED FD OP	MF	3570	135.62	484163.4	29-Aug-26
NSDL	INF109K012R6	ICICI PRUDENTIAL MUTUAL FUND NIFTY ETF OPEN ENDED	ETF	2212	274.23	606596.76	29-Aug-26
NSDL	INE009A01021	INFOSYS LIMITED EQ FV RS 5	S	4	1144	4576	29-Aug-26
NSDL	INE758E01017	JIO FINANCIAL SERVICES LIMITED EQ	S	14	238.4	3337.6	29-Aug-26
NSDL	INF174K01DS9	KOTAK MAHINDRA MUTUAL FUND KOTAK MIDCAP FUND RG  GROWTH	MF	3807.87	148.832	566732.9078	29-Aug-26
NSDL	INE2KCE01013	KWALITY WALL'S (INDIA) LIMITED EQ	S	14	45.55	637.7	29-Aug-26
NSDL	INF769K01HF4	MIRAE ASSET MUTUAL FUND MIRAE ASSET NYSE FANG + ETF	ETF	50	207.13	10356.5	29-Aug-26
NSDL	INF247L01AP3	MOTILAL OSWAL MUTUAL FUND MOTILAL OSWAL NASDAQ 100 ETF	ETF	10	327.1	3271	29-Aug-26
NSDL	INE0PO601011	NATIONAL PEROXIDE LIMITED EQ	S	5	647.85	3239.25	29-Aug-26
NSDL	INE239A01024	NESTLE INDIA LIMITED EQ NEW FV RE 1/-	S	205	1454.6	298193	29-Aug-26
NSDL	INE848E01016	NHPC LIMITED EQ	S	800	74.82	59856	29-Aug-26
NSDL	INE733E01010	NTPC LIMITED EQ	S	150	330.05	49507.5	29-Aug-26
NSDL	INE318A01026	PIDILITE INDUSTRIES LIMITED EQ NEW FV RE.1/-	S	106	1629.5	172727	29-Aug-26
NSDL	INF879O01019	PPFAS MUTUAL FUND PARAG PARIKH FLEXICAP FUND REG GROWTH	MF	7439.77	82.6379	614806.9693	29-Aug-26
NSDL	INE002A01018	RELIANCE INDUSTRIES LIMITED EQ	S	54	1287	69498	29-Aug-26
NSDL	INE425Y01011	RPSG VENTURES LIMITED EQ	S	4	857.15	3428.6	29-Aug-26
NSDL	INE803H01014	RUCHIRA PAPERS LIMITED EQ	S	33	102.64	3387.12	29-Aug-26
NSDL	INE020801028	SPENCER'S RETAIL LIMITED EQ NEW FV RS. 5/-	S	12	29.89	358.68	29-Aug-26
NSDL	INE467B01029	TATA CONSULTANCY SERVICES LIMITED EQ NEW FV RE.1/-	S	2	2342	4684	29-Aug-26
NSDL	INE280A01028	TITAN COMPANY LIMITED EQ NEW Re.1/-	S	44	5169.2	227444.8	29-Aug-26
